page,row,table,image,swatch_path,needs_review,code,name,pattern_type,verified,hatch_char,tile_path,tile_size,details
22,0,表5,page22_row000.png,data\pattern_swatches\raw\page22_row000.png,False,,,symbol_tiled,no,,data\patterns\page22_row000_tile32.png,32,"{""std"": 37.20916158015602, ""dominant_angle"": 87.0, ""energy_ratio"": 1.428779669987548, ""num_components"": 224, ""median_component_size"": 2.0, ""density"": 0.4716928640979274}"
22,1,表5,page22_row001.png,data\pattern_swatches\raw\page22_row001.png,False,,,symbol_tiled,no,,data\patterns\page22_row001_tile32.png,32,"{""std"": 24.356891051483757, ""dominant_angle"": 87.0, ""energy_ratio"": 1.5823516103092095, ""num_components"": 25, ""median_component_size"": 14.0, ""density"": 0.270552232577549}"
22,2,表5,page22_row002.png,data\pattern_swatches\raw\page22_row002.png,False,,,symbol_tiled,no,,data\patterns\page22_row002_tile32.png,32,"{""std"": 27.668890100258547, ""dominant_angle"": 87.0, ""energy_ratio"": 1.5413028604237289, ""num_components"": 83, ""median_component_size"": 2.0, ""density"": 0.2656836834052024}"
22,3,表5,page22_row003.png,data\pattern_swatches\raw\page22_row003.png,False,,,symbol_tiled,no,,data\patterns\page22_row003_tile32.png,32,"{""std"": 26.18356731022281, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2545342175859437, ""num_components"": 80, ""median_component_size"": 4.0, ""density"": 0.22335164835164836}"
22,4,表5,page22_row004.png,data\pattern_swatches\raw\page22_row004.png,False,,,symbol_tiled,no,,data\patterns\page22_row004_tile32.png,32,"{""std"": 29.94802901091266, ""dominant_angle"": 87.0, ""energy_ratio"": 1.5043700645135034, ""num_components"": 17, ""median_component_size"": 8.0, ""density"": 0.35178745305327586}"
22,5,表5,page22_row005.png,data\pattern_swatches\raw\page22_row005.png,False,,,symbol_tiled,no,,data\patterns\page22_row005_tile32.png,32,"{""std"": 37.87357501953433, ""dominant_angle"": 87.0, ""energy_ratio"": 1.4086668125622677, ""num_components"": 73, ""median_component_size"": 2.0, ""density"": 0.25535714285714284}"
22,6,表5,page22_row006.png,data\pattern_swatches\raw\page22_row006.png,False,,,symbol_tiled,no,,data\patterns\page22_row006_tile32.png,32,"{""std"": 38.26416328670038, ""dominant_angle"": 82.0, ""energy_ratio"": 1.5607613290285212, ""num_components"": 12, ""median_component_size"": 6.0, ""density"": 0.08447802197802198}"
22,7,表5,page22_row007.png,data\pattern_swatches\raw\page22_row007.png,False,,,symbol_tiled,no,,data\patterns\page22_row007_tile32.png,32,"{""std"": 39.13552712892341, ""dominant_angle"": 85.0, ""energy_ratio"": 1.3390072851249286, ""num_components"": 35, ""median_component_size"": 2.0, ""density"": 0.2405637840420449}"
22,8,表5,page22_row008.png,data\pattern_swatches\raw\page22_row008.png,False,,,symbol_tiled,no,,data\patterns\page22_row008_tile32.png,32,"{""std"": 28.738411419333797, ""dominant_angle"": 84.0, ""energy_ratio"": 1.3827485147534013, ""num_components"": 121, ""median_component_size"": 3.0, ""density"": 0.3440934065934066}"
22,9,表5,page22_row009.png,data\pattern_swatches\raw\page22_row009.png,False,,,symbol_tiled,no,,data\patterns\page22_row009_tile32.png,32,"{""std"": 17.888115361622056, ""dominant_angle"": 1.0, ""energy_ratio"": 1.3161410087227727, ""num_components"": 17, ""median_component_size"": 7.0, ""density"": 0.4393491124260355}"
22,10,表5,page22_row010.png,data\pattern_swatches\raw\page22_row010.png,False,,,symbol_tiled,no,,data\patterns\page22_row010_tile32.png,32,"{""std"": 18.027601215690613, ""dominant_angle"": 1.0, ""energy_ratio"": 1.3216643567393327, ""num_components"": 33, ""median_component_size"": 6.0, ""density"": 0.4818258664412511}"
22,11,表5,page22_row011.png,data\pattern_swatches\raw\page22_row011.png,False,,,symbol_tiled,no,,data\patterns\page22_row011_tile32.png,32,"{""std"": 20.26820782151163, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2897604686956585, ""num_components"": 128, ""median_component_size"": 2.0, ""density"": 0.4065934065934066}"
31,0,表13/表14/表15,page31_row000.png,data\pattern_swatches\raw\page31_row000.png,False,,,symbol_tiled,no,,data\patterns\page31_row000_tile32.png,32,"{""std"": 31.951255366413502, ""dominant_angle"": 177.0, ""energy_ratio"": 1.2787236401358657, ""num_components"": 182, ""median_component_size"": 2.0, ""density"": 0.17209605361131794}"
31,1,表13/表14/表15,page31_row001.png,data\pattern_swatches\raw\page31_row001.png,False,,,symbol_tiled,no,,data\patterns\page31_row001_tile32.png,32,"{""std"": 31.229873109815394, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2759930458251547, ""num_components"": 191, ""median_component_size"": 2.0, ""density"": 0.16786113179448994}"
31,2,表13/表14/表15,page31_row002.png,data\pattern_swatches\raw\page31_row002.png,False,,,symbol_tiled,no,,data\patterns\page31_row002_tile32.png,32,"{""std"": 31.058130551404638, ""dominant_angle"": 1.0, ""energy_ratio"": 1.271885247252083, ""num_components"": 261, ""median_component_size"": 2.0, ""density"": 0.16242458521870287}"
31,3,表13/表14/表15,page31_row003.png,data\pattern_swatches\raw\page31_row003.png,False,,,symbol_tiled,no,,data\patterns\page31_row003_tile32.png,32,"{""std"": 40.03191836278896, ""dominant_angle"": 1.0, ""energy_ratio"": 1.283071217044352, ""num_components"": 337, ""median_component_size"": 2.0, ""density"": 0.24739389426656738}"
31,4,表13/表14/表15,page31_row004.png,data\pattern_swatches\raw\page31_row004.png,False,,,image,no,,data\patterns\page31_row004_tile32.png,32,"{""std"": 47.35831500799362, ""dominant_angle"": 87.0, ""energy_ratio"": 1.3796245085110885, ""num_components"": 37, ""median_component_size"": 105.0, ""density"": 0.16884466884466884}"
31,5,表13/表14/表15,page31_row005.png,data\pattern_swatches\raw\page31_row005.png,False,,,image,no,,data\patterns\page31_row005_tile32.png,32,"{""std"": 46.92928829552241, ""dominant_angle"": 87.0, ""energy_ratio"": 1.4038993057660913, ""num_components"": 35, ""median_component_size"": 109.0, ""density"": 0.17122067122067122}"
31,6,表13/表14/表15,page31_row006.png,data\pattern_swatches\raw\page31_row006.png,False,,,image,no,,data\patterns\page31_row006_tile32.png,32,"{""std"": 46.78226707001129, ""dominant_angle"": 87.0, ""energy_ratio"": 1.3984442997007493, ""num_components"": 35, ""median_component_size"": 104.0, ""density"": 0.16302808302808303}"
32,0,表15/表16/表17,page32_row000.png,data\pattern_swatches\raw\page32_row000.png,False,,,image,no,,data\patterns\page32_row000_tile32.png,32,"{""std"": 46.33725641112014, ""dominant_angle"": 87.0, ""energy_ratio"": 1.4096991853790821, ""num_components"": 35, ""median_component_size"": 100.0, ""density"": 0.15956758754504297}"
32,1,表15/表16/表17,page32_row001.png,data\pattern_swatches\raw\page32_row001.png,False,,,image,no,,data\patterns\page32_row001_tile32.png,32,"{""std"": 46.157897660490555, ""dominant_angle"": 87.0, ""energy_ratio"": 1.3915914006203336, ""num_components"": 35, ""median_component_size"": 92.0, ""density"": 0.15647232745079923}"
32,2,表15/表16/表17,page32_row002.png,data\pattern_swatches\raw\page32_row002.png,False,,,symbol_tiled,no,,data\patterns\page32_row002_tile32.png,32,"{""std"": 31.39687589792304, ""dominant_angle"": 87.0, ""energy_ratio"": 1.2518859536081601, ""num_components"": 217, ""median_component_size"": 2.0, ""density"": 0.16102010424422933}"
32,3,表15/表16/表17,page32_row003.png,data\pattern_swatches\raw\page32_row003.png,False,,,symbol_tiled,no,,data\patterns\page32_row003_tile32.png,32,"{""std"": 34.66340861709594, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2577915422567, ""num_components"": 295, ""median_component_size"": 2.0, ""density"": 0.18520220588235295}"
32,4,表15/表16/表17,page32_row004.png,data\pattern_swatches\raw\page32_row004.png,False,,,symbol_tiled,no,,data\patterns\page32_row004_tile32.png,32,"{""std"": 35.34621717414545, ""dominant_angle"": 87.0, ""energy_ratio"": 1.2544593051124955, ""num_components"": 297, ""median_component_size"": 2.0, ""density"": 0.19983246463142218}"
32,5,表15/表16/表17,page32_row005.png,data\pattern_swatches\raw\page32_row005.png,False,,,symbol_tiled,no,,data\patterns\page32_row005_tile32.png,32,"{""std"": 33.06403979172881, ""dominant_angle"": 87.0, ""energy_ratio"": 1.2526077600771122, ""num_components"": 215, ""median_component_size"": 2.0, ""density"": 0.1635331347728965}"
32,6,表15/表16/表17,page32_row006.png,data\pattern_swatches\raw\page32_row006.png,False,,,symbol_tiled,no,,data\patterns\page32_row006_tile32.png,32,"{""std"": 31.839298939575727, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2584924210691175, ""num_components"": 191, ""median_component_size"": 2.0, ""density"": 0.15923713235294118}"
33,0,表18/表19/表20/表21,page33_row000.png,data\pattern_swatches\raw\page33_row000.png,False,,,image,no,,data\patterns\page33_row000_tile32.png,32,"{""std"": 29.64388740710728, ""dominant_angle"": 87.0, ""energy_ratio"": 1.3528873466479883, ""num_components"": 11, ""median_component_size"": 121.0, ""density"": 0.06405109489051095}"
33,1,表18/表19/表20/表21,page33_row001.png,data\pattern_swatches\raw\page33_row001.png,False,,,symbol_tiled,no,,data\patterns\page33_row001_tile32.png,32,"{""std"": 26.489294253282715, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2924072999960197, ""num_components"": 105, ""median_component_size"": 2.0, ""density"": 0.13170415224913495}"
33,2,表18/表19/表20/表21,page33_row002.png,data\pattern_swatches\raw\page33_row002.png,False,,,symbol_tiled,no,,data\patterns\page33_row002_tile32.png,32,"{""std"": 27.739398827436105, ""dominant_angle"": 1.0, ""energy_ratio"": 1.3112077213707285, ""num_components"": 142, ""median_component_size"": 2.0, ""density"": 0.13566897347174164}"
33,3,表18/表19/表20/表21,page33_row003.png,data\pattern_swatches\raw\page33_row003.png,False,,,symbol_tiled,no,,data\patterns\page33_row003_tile32.png,32,"{""std"": 26.887210450684748, ""dominant_angle"": 175.0, ""energy_ratio"": 1.2995768987387002, ""num_components"": 91, ""median_component_size"": 3.0, ""density"": 0.12775735294117646}"
33,4,表18/表19/表20/表21,page33_row004.png,data\pattern_swatches\raw\page33_row004.png,False,,,symbol_tiled,no,,data\patterns\page33_row004_tile32.png,32,"{""std"": 26.9813916406829, ""dominant_angle"": 1.0, ""energy_ratio"": 1.29867829545001, ""num_components"": 135, ""median_component_size"": 2.0, ""density"": 0.13489819004524886}"
33,5,表18/表19/表20/表21,page33_row005.png,data\pattern_swatches\raw\page33_row005.png,False,,,symbol_tiled,no,,data\patterns\page33_row005_tile32.png,32,"{""std"": 33.32764119243313, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2915281379821961, ""num_components"": 110, ""median_component_size"": 2.0, ""density"": 0.17171280276816608}"
33,6,表18/表19/表20/表21,page33_row006.png,data\pattern_swatches\raw\page33_row006.png,False,,,symbol_tiled,no,,data\patterns\page33_row006_tile32.png,32,"{""std"": 35.55999166131979, ""dominant_angle"": 1.0, ""energy_ratio"": 1.3093147296423113, ""num_components"": 173, ""median_component_size"": 2.0, ""density"": 0.17993079584775087}"
33,7,表18/表19/表20/表21,page33_row007.png,data\pattern_swatches\raw\page33_row007.png,False,,,symbol_tiled,no,,data\patterns\page33_row007_tile32.png,32,"{""std"": 28.705044693886286, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2866262711634542, ""num_components"": 66, ""median_component_size"": 2.0, ""density"": 0.13602941176470587}"
33,8,表18/表19/表20/表21,page33_row008.png,data\pattern_swatches\raw\page33_row008.png,False,,,symbol_tiled,no,,data\patterns\page33_row008_tile32.png,32,"{""std"": 31.75074715167793, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2843238483719654, ""num_components"": 141, ""median_component_size"": 2.0, ""density"": 0.15943156108597284}"
33,9,表18/表19/表20/表21,page33_row009.png,data\pattern_swatches\raw\page33_row009.png,False,,,symbol_tiled,no,,data\patterns\page33_row009_tile32.png,32,"{""std"": 30.621459743335276, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2764389783634496, ""num_components"": 109, ""median_component_size"": 2.0, ""density"": 0.15015859284890426}"
33,10,表18/表19/表20/表21,page33_row010.png,data\pattern_swatches\raw\page33_row010.png,False,,,symbol_tiled,no,,data\patterns\page33_row010_tile32.png,32,"{""std"": 27.247639844798837, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2775111749794112, ""num_components"": 117, ""median_component_size"": 2.0, ""density"": 0.12103517877739331}"
33,11,表18/表19/表20/表21,page33_row011.png,data\pattern_swatches\raw\page33_row011.png,False,,,symbol_tiled,no,,data\patterns\page33_row011_tile32.png,32,"{""std"": 26.931878702697126, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2981087041627166, ""num_components"": 94, ""median_component_size"": 2.0, ""density"": 0.12060265282583622}"
33,12,表18/表19/表20/表21,page33_row012.png,data\pattern_swatches\raw\page33_row012.png,False,,,symbol_tiled,no,,data\patterns\page33_row012_tile32.png,32,"{""std"": 26.751587649880065, ""dominant_angle"": 1.0, ""energy_ratio"": 1.274204639706934, ""num_components"": 113, ""median_component_size"": 2.0, ""density"": 0.12139561707035755}"
33,13,表18/表19/表20/表21,page33_row013.png,data\pattern_swatches\raw\page33_row013.png,False,,,symbol_tiled,no,,data\patterns\page33_row013_tile32.png,32,"{""std"": 27.186391475089074, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2710819003593252, ""num_components"": 118, ""median_component_size"": 2.0, ""density"": 0.13141580161476354}"
34,0,表21/表22,page34_row000.png,data\pattern_swatches\raw\page34_row000.png,False,,,image,no,,data\patterns\page34_row000_tile32.png,32,"{""std"": 42.30485738700869, ""dominant_angle"": 88.0, ""energy_ratio"": 1.4215101725867056, ""num_components"": 26, ""median_component_size"": 114.5, ""density"": 0.13643073894857705}"
34,1,表21/表22,page34_row001.png,data\pattern_swatches\raw\page34_row001.png,False,,,image,no,,data\patterns\page34_row001_tile32.png,32,"{""std"": 42.63579409534557, ""dominant_angle"": 88.0, ""energy_ratio"": 1.4115148384264078, ""num_components"": 37, ""median_component_size"": 106.0, ""density"": 0.13189159807423512}"
34,2,表21/表22,page34_row002.png,data\pattern_swatches\raw\page34_row002.png,False,,,symbol_tiled,no,,data\patterns\page34_row002_tile32.png,32,"{""std"": 30.878588127101857, ""dominant_angle"": 1.0, ""energy_ratio"": 1.244133025580917, ""num_components"": 90, ""median_component_size"": 2.0, ""density"": 0.10112763053939525}"
34,3,表21/表22,page34_row003.png,data\pattern_swatches\raw\page34_row003.png,False,,,symbol_tiled,no,,data\patterns\page34_row003_tile32.png,32,"{""std"": 31.48818275464786, ""dominant_angle"": 1.0, ""energy_ratio"": 1.2434444340912723, ""num_components"": 86, ""median_component_size"": 2.0, ""density"": 0.10155857214680744}"
34,4,表21/表22,page34_row004.png,data\pattern_swatches\raw\page34_row004.png,False,,,symbol_tiled,no,,data\patterns\page34_row004_tile32.png,32,"{""std"": 45.319539333340025, ""dominant_angle"": 175.0, ""energy_ratio"": 1.319681725844755, ""num_components"": 185, ""median_component_size"": 2.0, ""density"": 0.2018243194713783}"
